codmuer,anio,provre,count()
O995,2007,70,1
O995,2008,6,2
O995,2008,22,1
O995,2008,54,4
O995,2008,58,1
O995,2008,66,1
O995,2008,82,1
O995,2010,6,6
O995,2010,14,3
O995,2010,22,1
O995,2010,34,1
O995,2010,50,2
O995,2010,54,2
O995,2010,66,2
O995,2010,70,1
O995,2010,98,1
O996,2006,14,2
O996,2006,22,1
O996,2006,30,1
O996,2006,38,1
O996,2007,6,4
O996,2007,50,1
O996,2008,6,2
O996,2008,26,1
O996,2008,42,1
O996,2008,62,1
O996,2008,66,1
O996,2008,82,2
O996,2008,90,1
O996,2010,2,1
O996,2010,6,6
O996,2010,14,1
O996,2010,18,1
O996,2010,50,1
O996,2010,54,2
O996,2010,74,1
O996,2010,82,1
O998,2006,2,1
O998,2006,6,3
O998,2006,14,1
O998,2006,18,2
O998,2006,22,1
O998,2006,50,2
O998,2006,70,2
O998,2006,82,2
O998,2006,90,2
O998,2007,2,3
O998,2007,6,8
O998,2007,14,2
O998,2007,18,2
O998,2007,42,2
O998,2007,46,2
O998,2007,50,1
O998,2007,66,4
O998,2007,70,1
O998,2007,74,1
O998,2008,6,2
O998,2008,10,1
O998,2008,14,1
O998,2008,22,1
O998,2008,38,1
O998,2008,42,1
O998,2008,50,1
O998,2008,70,1
O998,2010,6,8
O998,2010,14,4
O998,2010,18,1
O998,2010,26,1
O998,2010,46,1
O998,2010,50,1
O998,2010,54,1
O998,2010,66,2
O998,2010,70,1
O998,2010,78,1
O998,2010,82,4
