,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
año,codigo provincia,provincia,Aborto (O00 a O07),T Hipert(O10-016,T Placenta  (O44- O46),Otras  directas *,Hemorragia post (O72),Sepsis y  O (O85-O92),Enf por VIH (B20-B24),Otras ind (O98-O99),total muertes,nacidos vivos,proporciòn,razòn muertes x 10k nac
2006,02,Ciud. Aut. de  Buenos Aires,1,1,1,1,0,0,2,2,8,44065,0.00018155,1.81549983
2007,02,Ciud. Aut. de  Buenos Aires,1,0,1,2,2,4,1,3,14,42737,0.000327585,3.275849966
2008,02,Ciud. Aut. de  Buenos Aires,1,0,0,1,0,2,0,0,4,45820,8.72981E-05,0.872981231
2009,02,Ciud. Aut. de  Buenos Aires,1,4,0,0,0,1,0,2,8,44615,0.000179312,1.793118906
2010,02,Ciud. Aut. de  Buenos Aires,2,0,0,1,0,0,0,1,4,45429,8.80495E-05,0.880494838
2006,06,Buenos Aires,30,16,4,19,7,10,3,10,99,261941,0.000377948,3.779477058
2007,06,Buenos Aires,23,15,1,13,6,11,1,27,97,263343,0.000368341,3.68340909
2008,06,Buenos Aires,23,13,2,25,5,10,0,12,90,280318,0.000321064,3.210639345
2009,06,Buenos Aires,32,10,1,13,3,11,1,41,112,279941,0.000400084,4.000843035
2010,06,Buenos Aires,31,14,3,21,13,15,1,30,128,288831,0.000443166,4.431657267
2006,10,Catamarca,1,1,0,0,1,0,0,0,3,6837,0.000438789,4.387889425
